id,name,open,labeled,commented,closed
MDExOlB1bGxSZXF1ZXN0MjIxMjEzOA==,https://github.com/swagger-api/swagger-js/pull/4,2012-08-30T23:01:37Z,,,2012-08-31T04:51:18Z
MDExOlB1bGxSZXF1ZXN0Mjk4MjQ2Nw==,https://github.com/swagger-api/swagger-js/pull/5,2012-11-13T15:46:25Z,,2012-11-13T21:25:03Z,2012-11-13T21:24:56Z
MDExOlB1bGxSZXF1ZXN0MzAwMzg4MA==,https://github.com/swagger-api/swagger-js/pull/6,2012-11-14T21:14:12Z,,,2012-11-16T06:29:36Z
MDExOlB1bGxSZXF1ZXN0MzAwNTU2MQ==,https://github.com/swagger-api/swagger-js/pull/7,2012-11-14T22:56:18Z,,2012-11-15T01:17:25Z,2012-11-15T01:17:25Z
MDExOlB1bGxSZXF1ZXN0MzAzOTczNQ==,https://github.com/swagger-api/swagger-js/pull/8,2012-11-17T16:43:43Z,,,2012-11-20T02:41:48Z
MDExOlB1bGxSZXF1ZXN0MzA1MTUzOQ==,https://github.com/swagger-api/swagger-js/pull/9,2012-11-19T16:09:54Z,,2012-11-19T16:12:45Z,2012-11-20T02:41:19Z
MDExOlB1bGxSZXF1ZXN0MzA4NDc3MQ==,https://github.com/swagger-api/swagger-js/pull/10,2012-11-21T16:25:55Z,,,2012-11-26T05:11:50Z
MDExOlB1bGxSZXF1ZXN0MzEwMTA3Nw==,https://github.com/swagger-api/swagger-js/pull/11,2012-11-22T21:43:23Z,,,2012-11-26T05:11:37Z
MDExOlB1bGxSZXF1ZXN0MzI1MjMwMw==,https://github.com/swagger-api/swagger-js/pull/12,2012-12-05T20:54:01Z,,2012-12-06T02:23:16Z,2012-12-06T02:23:03Z
MDExOlB1bGxSZXF1ZXN0NDIzMzc2MA==,https://github.com/swagger-api/swagger-js/pull/16,2013-02-20T16:13:40Z,,2013-02-20T16:27:13Z,2013-02-20T16:37:48Z
MDExOlB1bGxSZXF1ZXN0NDM2NzEwNA==,https://github.com/swagger-api/swagger-js/pull/17,2013-02-28T07:55:18Z,,,2013-03-06T05:07Z
MDExOlB1bGxSZXF1ZXN0NDYwMTA1OA==,https://github.com/swagger-api/swagger-js/pull/18,2013-03-13T19:44:49Z,,,2013-03-14T05:41:46Z
MDExOlB1bGxSZXF1ZXN0NDY3MzQ1Mg==,https://github.com/swagger-api/swagger-js/pull/19,2013-03-18T17:23:21Z,,,2013-03-19T18:33:22Z
MDExOlB1bGxSZXF1ZXN0NDY5NzE3OQ==,https://github.com/swagger-api/swagger-js/pull/21,2013-03-19T17:12:44Z,,2013-08-30T00:11:36Z,2013-08-30T00:11:36Z
MDExOlB1bGxSZXF1ZXN0NDcyODY4MQ==,https://github.com/swagger-api/swagger-js/pull/22,2013-03-20T22:44:14Z,,2013-07-07T22:55:40Z,2013-07-07T22:55:41Z
MDExOlB1bGxSZXF1ZXN0NDc1MjgzMw==,https://github.com/swagger-api/swagger-js/pull/23,2013-03-21T23:24:37Z,,,2013-07-07T23:01Z
MDExOlB1bGxSZXF1ZXN0NDc3MjAwNQ==,https://github.com/swagger-api/swagger-js/pull/24,2013-03-22T20:51:52Z,,2013-07-07T23:03:16Z,2013-07-07T23:03:16Z
MDExOlB1bGxSZXF1ZXN0NDk4MTAzNg==,https://github.com/swagger-api/swagger-js/pull/28,2013-04-04T16:00:19Z,,2013-07-23T22:33:45Z,2013-07-23T23:04:39Z
MDExOlB1bGxSZXF1ZXN0NTcyOTgxMw==,https://github.com/swagger-api/swagger-js/pull/30,2013-05-15T15:42:37Z,,,2013-05-15T15:50:17Z
MDExOlB1bGxSZXF1ZXN0NTkwMzk4Mw==,https://github.com/swagger-api/swagger-js/pull/34,2013-05-24T00:06:30Z,,2013-05-24T00:07:51Z,2013-05-30T02:22:49Z
MDExOlB1bGxSZXF1ZXN0NjE1MTA1OQ==,https://github.com/swagger-api/swagger-js/pull/35,2013-06-06T04:52:30Z,,2014-05-20T16:35:55Z,2014-07-11T15:57:56Z
MDExOlB1bGxSZXF1ZXN0NjIwOTA0Ng==,https://github.com/swagger-api/swagger-js/pull/37,2013-06-09T15:02:03Z,,2014-09-19T02:51:41Z,2014-09-19T02:51:41Z
MDExOlB1bGxSZXF1ZXN0NjM4ODEyMg==,https://github.com/swagger-api/swagger-js/pull/38,2013-06-18T14:24:18Z,,2014-03-20T03:14:04Z,2014-03-20T03:14:04Z
MDExOlB1bGxSZXF1ZXN0NzAyNjY4OQ==,https://github.com/swagger-api/swagger-js/pull/45,2013-07-18T21:10:06Z,,,2013-08-29T22:09:56Z
