id,name,open,labeled,commented,closed
MDU6SXNzdWUzMjE2NTc2OA==,https://github.com/swagger-api/swagger-parser/issues/1,2014-04-24T16:49:42Z,,2015-02-13T18:03:43Z,2015-02-13T18:03:43Z
MDU6SXNzdWUzMjM1Nzk0OA==,https://github.com/swagger-api/swagger-parser/issues/2,2014-04-28T13:16:49Z,,2014-04-28T13:18:37Z,2015-01-20T09:34:51Z
MDU6SXNzdWUzMjM5MDQwMg==,https://github.com/swagger-api/swagger-parser/issues/3,2014-04-28T19:24:10Z,,2014-04-28T21:24:24Z,2015-02-13T18:04:04Z
MDU6SXNzdWUzMzUwOTI0MQ==,https://github.com/swagger-api/swagger-parser/issues/4,2014-05-14T16:32:48Z,,2015-02-13T18:04:20Z,2015-02-13T18:04:20Z
MDU6SXNzdWU1MzU0NTQzMw==,https://github.com/swagger-api/swagger-parser/issues/7,2015-01-06T18:22:12Z,,2015-01-06T18:24:15Z,2015-01-06T19:08:36Z
MDU6SXNzdWU1NDgyODA5NA==,https://github.com/swagger-api/swagger-parser/issues/8,2015-01-20T00:09:25Z,2015-01-20T00:27:26Z,2015-02-13T05:18Z,2015-02-13T05:18:06Z
MDU6SXNzdWU1NzQwNjg3Nw==,https://github.com/swagger-api/swagger-parser/issues/9,2015-02-12T01:58:43Z,,2015-02-12T10:21:07Z,2015-02-13T01:53:28Z
MDU6SXNzdWU1NzY3MjczNQ==,https://github.com/swagger-api/swagger-parser/issues/11,2015-02-14T00:37:10Z,,2015-02-14T16:45:15Z,2015-02-14T16:45:15Z
MDU6SXNzdWU1ODI1MTc4MA==,https://github.com/swagger-api/swagger-parser/issues/13,2015-02-19T18:55:33Z,2015-02-19T19:08:28Z,2015-02-19T18:57:33Z,2015-02-21T18:40:07Z
MDU6SXNzdWU1ODY0NjU4OQ==,https://github.com/swagger-api/swagger-parser/issues/14,2015-02-23T20:56:20Z,,2015-02-24T06:44:38Z,2015-02-24T06:44:38Z
MDU6SXNzdWU1OTQ3MDUzOQ==,https://github.com/swagger-api/swagger-parser/issues/16,2015-03-02T11:41:32Z,,2015-03-02T18:06:48Z,2015-03-02T18:06:48Z
MDU6SXNzdWU1OTczMjY5MA==,https://github.com/swagger-api/swagger-parser/issues/17,2015-03-04T00:43:11Z,2015-03-04T00:43:15Z,2015-03-04T00:57:48Z,2015-03-04T00:49:59Z
MDU6SXNzdWU1OTg4NjY4Mw==,https://github.com/swagger-api/swagger-parser/issues/19,2015-03-05T00:37:39Z,,,2015-03-05T05:58:55Z
MDU6SXNzdWU1OTg4NzAyNA==,https://github.com/swagger-api/swagger-parser/issues/20,2015-03-05T00:41:51Z,,2015-03-05T05:34:44Z,2015-03-05T05:34:44Z
MDU6SXNzdWU1OTk5NTU5NQ==,https://github.com/swagger-api/swagger-parser/issues/21,2015-03-05T18:39:15Z,2015-03-09T21:18:35Z,2015-03-05T18:56:21Z,2015-03-19T00:23:04Z
MDU6SXNzdWU1OTk5ODc1Nw==,https://github.com/swagger-api/swagger-parser/issues/22,2015-03-05T19:01:36Z,2015-03-09T21:17:50Z,,2015-03-19T00:20:14Z
MDU6SXNzdWU2MTIwMzY2OA==,https://github.com/swagger-api/swagger-parser/issues/23,2015-03-13T19:43:33Z,2015-03-17T05:16:35Z,2015-03-13T19:47:47Z,2015-03-19T00:12:22Z
MDU6SXNzdWU2MjgzMDQ3Ng==,https://github.com/swagger-api/swagger-parser/issues/24,2015-03-18T23:59:19Z,,,2015-05-20T17:46:22Z
MDU6SXNzdWU2MzYyNTc3Mw==,https://github.com/swagger-api/swagger-parser/issues/26,2015-03-23T04:50:10Z,2015-05-20T19:29:57Z,,2016-12-27T06:31:34Z
MDU6SXNzdWU2NDYxNDE1MA==,https://github.com/swagger-api/swagger-parser/issues/27,2015-03-26T19:26:50Z,2015-03-26T19:26:50Z,,2015-03-28T03:16:01Z
MDU6SXNzdWU2NDgzNzM3Nw==,https://github.com/swagger-api/swagger-parser/issues/28,2015-03-27T19:36:59Z,2015-03-27T19:36:59Z,2015-03-28T09:20:07Z,2016-10-27T19:24:57Z
MDU6SXNzdWU2NTQ1OTgzMg==,https://github.com/swagger-api/swagger-parser/issues/29,2015-03-31T14:05:57Z,,,2015-05-20T17:47:28Z
MDU6SXNzdWU2NTgzODAwOA==,https://github.com/swagger-api/swagger-parser/issues/33,2015-04-02T04:54:55Z,2015-04-02T04:54:55Z,2015-04-02T05:38:55Z,2015-05-20T17:47:55Z
MDU6SXNzdWU2NjE2NTY4Mg==,https://github.com/swagger-api/swagger-parser/issues/35,2015-04-03T15:22:14Z,,2015-04-04T19:00:08Z,2015-05-21T04:32:15Z
MDU6SXNzdWU2ODg2NDA2OQ==,https://github.com/swagger-api/swagger-parser/issues/37,2015-04-16T07:31:06Z,,2015-04-19T04:27:31Z,2015-04-20T19:51:26Z
MDU6SXNzdWU2ODkwNTg5OQ==,https://github.com/swagger-api/swagger-parser/issues/38,2015-04-16T11:39:49Z,,2015-04-16T15:46:23Z,2015-04-20T11:10:26Z
MDU6SXNzdWU2OTA5NzE1NQ==,https://github.com/swagger-api/swagger-parser/issues/39,2015-04-17T08:47:13Z,,2015-04-19T04:41:03Z,2015-04-24T20:13:31Z
MDU6SXNzdWU3MTg1NjA3NA==,https://github.com/swagger-api/swagger-parser/issues/42,2015-04-29T12:02:42Z,,2015-05-20T17:53:01Z,2015-05-20T17:53:01Z
MDU6SXNzdWU3MjIyNjcyNg==,https://github.com/swagger-api/swagger-parser/issues/43,2015-04-30T17:26:02Z,2015-05-20T19:29:57Z,2015-10-13T22:51:32Z,2015-11-03T07:26:59Z
MDU6SXNzdWU3NDA3NjA3NQ==,https://github.com/swagger-api/swagger-parser/issues/45,2015-05-07T18:08:19Z,,2015-05-10T15:05:05Z,2015-05-10T15:40:32Z
MDU6SXNzdWU3NDk0NDM5Ng==,https://github.com/swagger-api/swagger-parser/issues/46,2015-05-10T15:42:56Z,2015-05-20T19:29:57Z,2015-05-11T06:39:44Z,2015-10-23T15:20Z
MDU6SXNzdWU3ODM5NDcyNA==,https://github.com/swagger-api/swagger-parser/issues/47,2015-05-20T06:28:48Z,,2015-05-20T12:49Z,2015-05-20T12:49Z
MDU6SXNzdWU3OTM0MTcwOA==,https://github.com/swagger-api/swagger-parser/issues/51,2015-05-22T07:55:55Z,,2015-05-22T15:18:10Z,2015-06-07T07:17:12Z
MDU6SXNzdWU4MDgxMzg4MA==,https://github.com/swagger-api/swagger-parser/issues/55,2015-05-26T06:13:48Z,,2015-05-26T13:49:33Z,2015-06-08T17:37:08Z
MDU6SXNzdWU4NzY3MDMzNw==,https://github.com/swagger-api/swagger-parser/issues/59,2015-06-12T09:32:31Z,2015-06-15T10:15:34Z,2015-06-30T21:59:45Z,2015-06-30T21:59:45Z
MDU6SXNzdWU4ODY3OTU1NQ==,https://github.com/swagger-api/swagger-parser/issues/60,2015-06-16T09:54:25Z,,2015-06-17T10:44:29Z,2015-08-03T02:40:01Z
MDU6SXNzdWU5MDEzMjYxOA==,https://github.com/swagger-api/swagger-parser/issues/62,2015-06-22T15:28:37Z,2015-06-23T12:56:57Z,2015-10-01T21:42:34Z,2015-10-01T21:42:34Z
MDU6SXNzdWU5NTYxNDI2Nw==,https://github.com/swagger-api/swagger-parser/issues/66,2015-07-17T08:39:37Z,2015-07-19T17:41:53Z,2015-07-17T09:23:06Z,2016-03-25T01:16:12Z
MDU6SXNzdWU5Nzg0ODc3OA==,https://github.com/swagger-api/swagger-parser/issues/69,2015-07-29T03:06:55Z,,2015-08-06T20:30:44Z,2015-08-06T20:30:44Z
MDU6SXNzdWU5OTcwMTM3Mg==,https://github.com/swagger-api/swagger-parser/issues/75,2015-08-07T18:15:46Z,,2015-10-01T21:57:01Z,2015-10-01T21:57:01Z
MDU6SXNzdWUxMDMzMjk1Mjc=,https://github.com/swagger-api/swagger-parser/issues/80,2015-08-26T17:51:56Z,,2015-08-26T17:54:41Z,2015-08-26T18:31:04Z
MDU6SXNzdWUxMDM0NzA4NjQ=,https://github.com/swagger-api/swagger-parser/issues/81,2015-08-27T09:52:01Z,,2015-08-28T14:38:33Z,2016-10-27T19:24:31Z
MDU6SXNzdWUxMDM3MzIwMTI=,https://github.com/swagger-api/swagger-parser/issues/82,2015-08-28T14:47:38Z,,2015-08-28T16:18:41Z,2015-08-28T17:56:58Z
MDU6SXNzdWUxMDQzODk1MDU=,https://github.com/swagger-api/swagger-parser/issues/83,2015-09-02T02:14:33Z,,2015-09-14T23:42:44Z,2015-10-13T19:51:05Z
MDU6SXNzdWUxMDU1Nzk2Nzk=,https://github.com/swagger-api/swagger-parser/issues/87,2015-09-09T11:40:12Z,,2015-09-09T12:29:25Z,2015-10-01T22:00:18Z
MDU6SXNzdWUxMDU3NTM5MDQ=,https://github.com/swagger-api/swagger-parser/issues/88,2015-09-10T08:01:25Z,,2015-09-10T14:20:45Z,2015-09-10T14:20:45Z
MDU6SXNzdWUxMDYwNDkxMjg=,https://github.com/swagger-api/swagger-parser/issues/90,2015-09-11T16:45:06Z,,2015-09-11T16:48:02Z,2015-09-11T17:32:19Z
MDU6SXNzdWUxMDY4MjE4MDA=,https://github.com/swagger-api/swagger-parser/issues/92,2015-09-16T17:33:32Z,,2015-09-17T13:21:51Z,2015-10-01T22:00:35Z
MDU6SXNzdWUxMDY4NzA2MDQ=,https://github.com/swagger-api/swagger-parser/issues/93,2015-09-16T21:46:41Z,,2015-09-21T15:15:21Z,2016-12-27T07:01:12Z
MDU6SXNzdWUxMDc5MDUwMzI=,https://github.com/swagger-api/swagger-parser/issues/95,2015-09-23T12:02:38Z,,,2015-10-01T19:25:04Z
MDU6SXNzdWUxMDgwNjAyMDE=,https://github.com/swagger-api/swagger-parser/issues/99,2015-09-24T05:18:20Z,,2015-10-02T00:03:58Z,2015-10-02T00:03:58Z
MDU6SXNzdWUxMDgyMjQ4MTA=,https://github.com/swagger-api/swagger-parser/issues/103,2015-09-24T22:19:50Z,,2015-09-26T19:55:38Z,2016-10-27T19:24:04Z
MDU6SXNzdWUxMDg2OTMyMTU=,https://github.com/swagger-api/swagger-parser/issues/104,2015-09-28T16:15:47Z,,,2016-12-27T07:05:45Z
MDU6SXNzdWUxMTA4MDQ3NTU=,https://github.com/swagger-api/swagger-parser/issues/107,2015-10-10T16:46:59Z,,2015-10-10T16:52:13Z,2015-10-12T03:07:33Z
MDU6SXNzdWUxMTA5NzY5MzU=,https://github.com/swagger-api/swagger-parser/issues/108,2015-10-12T13:37:57Z,,2015-10-12T13:43:24Z,2015-10-23T15:18:23Z
MDU6SXNzdWUxMTEwNzA5MDg=,https://github.com/swagger-api/swagger-parser/issues/109,2015-10-12T22:56:56Z,,2015-10-12T23:27:03Z,2015-10-13T13:42:56Z
MDU6SXNzdWUxMTEyNzI2ODg=,https://github.com/swagger-api/swagger-parser/issues/112,2015-10-13T21:15:38Z,,,2015-10-13T22:19:11Z
MDU6SXNzdWUxMTEzMDkwMjc=,https://github.com/swagger-api/swagger-parser/issues/113,2015-10-14T02:33:18Z,,,2015-10-14T02:54:24Z
MDU6SXNzdWUxMTE1Nzc1NDM=,https://github.com/swagger-api/swagger-parser/issues/116,2015-10-15T09:26:42Z,,2015-10-15T13:01:11Z,2015-10-15T13:01:11Z
MDU6SXNzdWUxMTE4MjM0OTA=,https://github.com/swagger-api/swagger-parser/issues/118,2015-10-16T12:39:58Z,,2015-10-17T01:27:32Z,2015-10-17T01:27:32Z
MDU6SXNzdWUxMTMyMzMzMTU=,https://github.com/swagger-api/swagger-parser/issues/120,2015-10-25T15:48:51Z,,,2015-11-19T21:47:32Z
MDU6SXNzdWUxMTMzMDI1Mjc=,https://github.com/swagger-api/swagger-parser/issues/122,2015-10-26T07:58:48Z,,,2015-11-03T07:24:45Z
MDU6SXNzdWUxMTM0ODI1NzM=,https://github.com/swagger-api/swagger-parser/issues/124,2015-10-27T01:02:14Z,,2015-10-27T03:11:56Z,2015-10-27T17:13:32Z
MDU6SXNzdWUxMTM5NjU1Mjc=,https://github.com/swagger-api/swagger-parser/issues/125,2015-10-29T02:29:12Z,,2015-11-03T18:31:59Z,2015-11-03T06:39:20Z
MDU6SXNzdWUxMTM5NzY0ODc=,https://github.com/swagger-api/swagger-parser/issues/126,2015-10-29T04:08:13Z,,,2015-11-03T06:27:40Z
MDU6SXNzdWUxMTQxMDY4NjQ=,https://github.com/swagger-api/swagger-parser/issues/127,2015-10-29T17:45:27Z,,2015-11-03T08:02:13Z,2015-11-03T08:02:13Z
MDU6SXNzdWUxMTQ2OTM3OTk=,https://github.com/swagger-api/swagger-parser/issues/129,2015-11-02T22:01:25Z,,,2015-11-02T22:17:05Z
MDU6SXNzdWUxMTU2MTc3NjM=,https://github.com/swagger-api/swagger-parser/issues/132,2015-11-07T00:27:45Z,,2015-11-07T00:53:24Z,2016-10-27T19:18:13Z
MDU6SXNzdWUxMTU4OTcwNzk=,https://github.com/swagger-api/swagger-parser/issues/135,2015-11-09T15:13:50Z,,2015-11-09T18:34:04Z,2016-03-25T01:15:46Z
MDU6SXNzdWUxMTYzNjMwNTY=,https://github.com/swagger-api/swagger-parser/issues/137,2015-11-11T15:54:03Z,,,2015-12-24T05:23:53Z
MDU6SXNzdWUxMTYzNjY3MjU=,https://github.com/swagger-api/swagger-parser/issues/139,2015-11-11T16:11:15Z,,,2015-12-24T05:25:02Z
MDU6SXNzdWUxMTczMTQ2NjQ=,https://github.com/swagger-api/swagger-parser/issues/141,2015-11-17T09:24:20Z,,2015-11-18T10:57:42Z,2016-10-27T19:23:33Z
MDU6SXNzdWUxMTg3ODUzODA=,https://github.com/swagger-api/swagger-parser/issues/142,2015-11-25T08:32Z,,2015-11-25T15:25:30Z,2016-10-27T19:22:42Z
MDU6SXNzdWUxMTk0NzA4MzA=,https://github.com/swagger-api/swagger-parser/issues/143,2015-11-30T11:11:05Z,,2015-11-30T11:30:12Z,2015-12-02T18:01:43Z
MDU6SXNzdWUxMTk0NzQ3MjM=,https://github.com/swagger-api/swagger-parser/issues/144,2015-11-30T11:35:37Z,,2015-11-30T16:28:14Z,2015-11-30T16:28:15Z
MDU6SXNzdWUxMjA3ODY4MDE=,https://github.com/swagger-api/swagger-parser/issues/146,2015-12-07T14:35:16Z,,2015-12-12T07:45:19Z,2018-03-07T22:21:23Z
MDU6SXNzdWUxMjA4MzI2NjU=,https://github.com/swagger-api/swagger-parser/issues/147,2015-12-07T18:02:01Z,,2015-12-11T06:25:04Z,2016-10-27T00:23:14Z
MDU6SXNzdWUxMjIwMjMzODA=,https://github.com/swagger-api/swagger-parser/issues/148,2015-12-14T11:20:36Z,,2016-12-27T07:02:28Z,2016-12-27T07:02:28Z
MDU6SXNzdWUxMjIxNjk2OTk=,https://github.com/swagger-api/swagger-parser/issues/149,2015-12-15T01:15:28Z,,2016-02-01T10:56:47Z,2016-12-27T07:02:42Z
MDU6SXNzdWUxMjI3NjY2ODA=,https://github.com/swagger-api/swagger-parser/issues/151,2015-12-17T16:11:25Z,,,2016-01-12T05:52:54Z
MDU6SXNzdWUxMjMyMTE0NzY=,https://github.com/swagger-api/swagger-parser/issues/152,2015-12-21T05:04:58Z,,2015-12-23T13:56:34Z,2016-12-27T07:02:57Z
